City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Kapaa,US,2022-05-06 00:20:02,22.0752,-159.319,82.38,77,100,13.8
105,Siayan,PH,2022-05-06 00:20:02,8.2667,123.1,82.33,81,73,2.13
106,New Norfolk,AU,2022-05-06 00:20:03,-42.7826,147.0587,53.1,89,94,3.0
107,Riyadh,SA,2022-05-06 00:19:09,24.6877,46.7219,86.14,18,72,7.92
108,Guerrero Negro,MX,2022-05-06 00:19:52,27.9769,-114.0611,66.43,70,5,18.52
109,Constantine,DZ,2022-05-06 00:20:03,36.365,6.6147,53.01,87,75,21.85
110,Hamilton,US,2022-05-06 00:18:50,39.1834,-84.5333,59.99,92,100,9.22
111,Cape Town,ZA,2022-05-06 00:19:45,-33.9258,18.4232,59.11,93,20,2.3
112,Normal,US,2022-05-06 00:20:04,40.5142,-88.9906,54.1,96,100,15.01
113,Penzance,GB,2022-05-06 00:20:04,50.1186,-5.5371,52.48,87,67,8.3
114,Agadez,NE,2022-05-06 00:20:04,19.75,10.25,88.63,13,68,4.85
115,Port Alfred,ZA,2022-05-06 00:20:05,-33.5906,26.891,70.88,45,0,6.73
116,Hobart,AU,2022-05-06 00:19:39,-42.8794,147.3294,53.46,94,75,10.36
117,Tiksi,RU,2022-05-06 00:20:05,71.6872,128.8694,16.83,88,45,4.97
118,Esperance,AU,2022-05-06 00:20:06,-33.8667,121.9,57.72,69,34,8.81
119,Bredasdorp,ZA,2022-05-06 00:20:06,-34.5322,20.0403,57.0,95,13,4.72
120,Khatanga,RU,2022-05-06 00:20:07,71.9667,102.5,19.6,87,43,14.61
121,Narsaq,GL,2022-05-06 00:20:07,60.9167,-46.05,35.82,93,100,12.3
122,Bengkulu,ID,2022-05-06 00:20:08,-3.8004,102.2655,76.17,86,96,2.75
123,Martapura,ID,2022-05-06 00:20:08,-3.4167,114.85,80.69,89,0,0.0
124,Qaanaaq,GL,2022-05-06 00:20:08,77.484,-69.3632,13.8,80,5,6.4
125,Mattru,SL,2022-05-06 00:20:09,7.6244,-11.8332,73.98,94,44,6.35
126,Cherskiy,RU,2022-05-06 00:20:09,68.75,161.3,34.61,100,92,6.71
127,Jalu,LY,2022-05-06 00:20:10,29.0331,21.5482,70.54,27,11,10.25
128,Guadalupe Y Calvo,MX,2022-05-06 00:20:10,26.1,-106.9667,69.55,15,0,10.96
129,Stourbridge,GB,2022-05-06 00:20:10,52.4561,-2.1432,53.35,84,48,3.31
130,East London,ZA,2022-05-06 00:20:11,-33.0153,27.9116,70.59,37,0,5.57
131,San Cristobal,VE,2022-05-06 00:20:11,7.7669,-72.225,75.38,91,100,2.64
132,Namibe,AO,2022-05-06 00:16:01,-15.1961,12.1522,78.71,51,2,2.24
133,Manacapuru,BR,2022-05-06 00:20:12,-3.2997,-60.6206,77.32,88,60,3.09
134,Dunedin,NZ,2022-05-06 00:20:12,-45.8742,170.5036,65.8,57,67,4.0
135,San Ramon,US,2022-05-06 00:18:05,37.7799,-121.978,72.27,42,0,18.41
136,Mareeba,AU,2022-05-06 00:21:13,-17.0,145.4333,81.48,74,42,4.03
137,Sawtell,AU,2022-05-06 00:21:13,-30.3833,153.1,70.18,83,96,11.5
138,Corridonia,IT,2022-05-06 00:21:14,43.2511,13.5088,58.57,97,100,1.99
139,Solwezi,ZM,2022-05-06 00:21:14,-12.1688,26.3894,57.85,84,51,4.03
140,Ayr,GB,2022-05-06 00:21:14,55.4627,-4.6339,54.32,94,75,9.22
141,Axim,GH,2022-05-06 00:21:15,4.8699,-2.2405,80.49,85,83,5.28
142,Colombia,CU,2022-05-06 00:21:15,20.9881,-77.4297,76.46,81,62,6.76
143,Marquette,US,2022-05-06 00:21:16,46.5333,-87.6335,54.77,58,97,4.79
144,Toronto,CA,2022-05-06 00:19:38,43.7001,-79.4163,55.26,44,0,12.66
145,Raudeberg,NO,2022-05-06 00:21:16,61.9875,5.1352,49.96,83,100,20.58
146,Juiz De Fora,BR,2022-05-06 00:21:17,-21.7642,-43.3503,60.03,91,24,1.01
147,Christchurch,NZ,2022-05-06 00:20:36,-43.5333,172.6333,66.99,55,4,3.44
148,Bilibino,RU,2022-05-06 00:21:17,68.0546,166.4372,32.72,96,99,2.24
149,Linares,CL,2022-05-06 00:18:26,-35.85,-71.6,55.09,84,52,4.29
150,Xunchang,CN,2022-05-06 00:21:18,28.4543,104.715,70.65,76,100,2.84
151,Preston,GB,2022-05-06 00:18:02,53.7667,-2.7167,55.38,89,67,3.6
152,Bartica,GY,2022-05-06 00:21:22,6.4,-58.6167,77.32,99,97,2.89
153,Klaksvik,FO,2022-05-06 00:21:23,62.2266,-6.589,49.12,96,100,23.51
154,Imeni Poliny Osipenko,RU,2022-05-06 00:21:23,52.4201,136.4853,36.41,98,100,13.56
155,Mayumba,GA,2022-05-06 00:21:23,-3.432,10.6554,78.17,93,98,6.4
156,Cockburn Town,TC,2022-05-06 00:21:24,21.4612,-71.1419,78.01,79,58,18.34
157,Port Hedland,AU,2022-05-06 00:21:12,-20.3167,118.5667,75.25,38,0,14.97
158,Bethel,US,2022-05-06 00:21:24,41.3712,-73.414,63.45,65,99,3.8
159,Korem,ET,2022-05-06 00:21:25,12.5058,39.5228,57.9,40,10,3.74
160,Saint-Pierre,RE,2022-05-06 00:21:25,-21.3393,55.4781,74.88,83,20,25.32
161,Vao,NC,2022-05-06 00:21:26,-22.6667,167.4833,75.33,77,7,21.32
162,Nanortalik,GL,2022-05-06 00:19:28,60.1432,-45.2371,34.14,91,100,14.74
163,Doha,QA,2022-05-06 00:16:49,25.2867,51.5333,87.69,48,0,8.05
164,Phayakkhaphum Phisai,TH,2022-05-06 00:21:26,15.5163,103.1937,82.42,78,81,6.98
165,La Palma,US,2022-05-06 00:21:26,33.8464,-118.0467,89.96,50,20,11.5
166,San Quintin,MX,2022-05-06 00:21:27,30.4833,-115.95,66.34,73,1,13.65
167,Jasper,US,2022-05-06 00:21:27,37.2001,-94.3502,66.45,89,100,0.0
168,Beringovskiy,RU,2022-05-06 00:21:27,63.05,179.3167,28.9,73,19,1.59
169,Mersing,MY,2022-05-06 00:21:28,2.4312,103.8405,78.71,94,20,4.61
170,Hualmay,PE,2022-05-06 00:21:28,-11.0964,-77.6139,64.8,88,16,9.91
171,Brae,GB,2022-05-06 00:21:28,60.3964,-1.353,49.6,97,100,19.93
172,Leningradskiy,RU,2022-05-06 00:18:08,69.3833,178.4167,21.24,90,66,6.53
173,Tual,ID,2022-05-06 00:21:29,-5.6667,132.75,84.92,71,81,14.88
174,Ponta Do Sol,PT,2022-05-06 00:18:13,32.6667,-17.1,63.72,72,67,4.12
175,Villa Corzo,MX,2022-05-06 00:21:29,16.1667,-93.25,78.66,70,100,4.81
176,Acapulco,MX,2022-05-06 00:21:30,16.8634,-99.8901,84.02,70,75,9.22
177,Iqaluit,CA,2022-05-06 00:21:30,63.7506,-68.5145,15.53,79,20,19.57
178,Trofors,NO,2022-05-06 00:21:30,65.5333,13.4063,37.02,98,100,6.98
