City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,northport,US,33.229,-87.5772,64.22,76,0,8.05,clear sky
193,awash,ET,8.9833,40.1667,73.71,39,26,5.12,scattered clouds
194,leningradskiy,RU,69.3833,178.4167,29.19,85,100,7.31,overcast clouds
195,carutapera,BR,-1.195,-46.02,76.23,92,100,3.11,heavy intensity rain
196,pitkyaranta,RU,61.5734,31.4792,37.22,94,100,7.94,overcast clouds
197,ciudad bolivar,VE,8.1222,-63.5497,78.66,80,100,2.28,overcast clouds
198,flin flon,CA,54.7682,-101.865,51.1,98,100,8.16,overcast clouds
199,korla,CN,41.7597,86.1469,73.49,40,100,14.07,heavy intensity rain
200,beringovskiy,RU,63.05,179.3167,33.84,97,100,5.68,light snow
201,lipin bor,RU,60.2622,37.9763,44.38,93,34,10.76,scattered clouds
202,nanortalik,GL,60.1432,-45.2371,38.03,78,100,2.35,overcast clouds
203,dicabisagan,PH,17.0818,122.4157,87.3,62,96,6.44,overcast clouds
204,lahij,YE,13.1667,44.5833,78.44,69,48,2.89,scattered clouds
205,yinchuan,CN,38.4681,106.2731,61.72,35,100,13.58,overcast clouds
206,ahipara,NZ,-35.1667,173.1667,67.21,62,18,4.07,few clouds
207,whitecourt,CA,54.1502,-115.6855,42.04,75,75,18.41,broken clouds
208,hambantota,LK,6.1241,81.1185,82.74,94,75,5.75,broken clouds
209,salalah,OM,17.0151,54.0924,82.49,83,40,4.61,scattered clouds
210,mehamn,NO,71.0357,27.8492,31.71,72,100,29.17,light snow
211,berdigestyakh,RU,62.0989,126.6992,46.62,76,99,10.18,overcast clouds
212,longyearbyen,SJ,78.2186,15.6401,12.04,57,20,11.5,few clouds
213,khingansk,RU,49.1167,131.1833,50.07,27,7,10.98,clear sky
214,lebu,CL,-37.6167,-73.65,52.99,92,5,1.01,clear sky
215,sakaraha,MG,-22.9,44.5333,65.1,85,1,1.54,clear sky
216,narsaq,GL,60.9167,-46.05,50.22,62,99,7.2,overcast clouds
217,olavarria,AR,-36.8927,-60.3225,59.02,83,11,8.41,few clouds
218,pangnirtung,CA,66.1451,-65.7125,12.96,73,39,7.4,scattered clouds
219,chivay,PE,-15.6383,-71.6011,46.87,66,87,2.53,overcast clouds
220,yelizovo,RU,53.1873,158.3805,62.74,45,75,11.18,broken clouds
221,kahului,US,20.8947,-156.47,78.82,68,20,24.16,few clouds
222,mandalgovi,MN,45.7625,106.2708,54.19,31,0,12.86,clear sky
223,naze,JP,28.3667,129.4833,74.32,82,100,10.38,moderate rain
224,general pico,AR,-35.6566,-63.7568,63.63,60,0,12.57,clear sky
225,mayya,RU,61.7333,130.2811,56.52,63,97,12.73,overcast clouds
226,birao,CF,10.2849,22.7882,77.79,59,84,4.65,broken clouds
227,lavrentiya,RU,65.5833,-171.0,32.68,90,100,5.08,overcast clouds
228,chunskiy,RU,56.0815,99.6342,43.65,36,95,17.54,overcast clouds
229,gamba,GA,-2.65,10.0,75.76,87,100,1.68,overcast clouds
230,deputatskiy,RU,69.3,139.9,18.99,68,99,4.25,overcast clouds
231,sarakhs,IR,36.5449,61.1577,71.74,68,40,13.8,scattered clouds
232,arman,RU,59.7,150.1667,35.65,87,99,4.25,overcast clouds
233,nurota,UZ,40.5614,65.6886,81.79,28,38,8.05,scattered clouds
234,bilma,NE,18.6853,12.9164,90.84,13,100,5.99,overcast clouds
235,rajula,IN,21.05,71.4333,90.12,38,4,9.15,clear sky
236,eureka,US,40.8021,-124.1637,52.41,76,9,3.0,clear sky
237,kencong,ID,-8.2833,113.3667,85.68,71,100,2.57,overcast clouds
238,iberia,US,29.9502,-91.7507,80.67,83,0,8.05,clear sky
239,ponta delgada,PT,37.7333,-25.6667,66.51,94,75,2.3,broken clouds
240,avera,US,33.194,-82.5271,60.85,73,0,7.2,clear sky
241,mokhotlong,LS,-29.2894,29.0675,41.05,76,12,1.57,few clouds
242,macapa,BR,0.0389,-51.0664,80.58,89,20,2.3,few clouds
243,dukat,RU,62.55,155.55,28.69,90,100,15.59,light snow
244,santa lucia,ES,27.9117,-15.5407,58.32,77,20,17.27,few clouds
245,vidalia,US,32.2177,-82.4135,67.78,68,0,0.0,clear sky
246,torbay,CA,47.6666,-52.7314,33.76,86,75,4.0,broken clouds
247,iranshahr,IR,27.2025,60.6848,82.74,32,0,4.61,clear sky
248,moerai,PF,-22.4333,-151.3333,79.16,75,58,12.03,broken clouds
249,burnie,AU,-41.0667,145.9167,60.17,57,28,10.69,scattered clouds
250,tutzing,DE,47.9094,11.2803,52.43,96,100,5.75,overcast clouds
251,ostrovnoy,RU,68.0531,39.5131,32.94,79,96,14.23,overcast clouds
252,grand-santi,GF,4.25,-54.3833,73.15,99,100,2.64,overcast clouds
253,east millcreek,US,40.7,-111.8105,59.18,31,40,5.75,scattered clouds
254,castro,BR,-24.7911,-50.0119,48.0,98,72,4.27,broken clouds
255,alekseyevsk,RU,57.8406,108.3492,45.36,49,100,15.17,overcast clouds
256,san rafael,AR,-34.6177,-68.3301,60.82,37,62,10.04,broken clouds
257,paamiut,GL,61.994,-49.6678,30.7,89,98,12.46,overcast clouds
258,charters towers,AU,-20.1,146.2667,78.33,66,98,13.0,overcast clouds
259,carnarvon,AU,-24.8667,113.6333,77.07,47,40,4.61,scattered clouds
260,klaksvik,FO,62.2266,-6.589,45.52,80,100,18.28,overcast clouds
261,rawson,AR,-43.3002,-65.1023,68.43,47,24,11.52,few clouds
262,chuy,UY,-33.6971,-53.4616,56.32,85,2,4.99,clear sky
263,mogadishu,SO,2.0371,45.3438,81.21,84,8,13.73,clear sky
264,port blair,IN,11.6667,92.75,84.0,79,100,22.64,overcast clouds
265,ilulissat,GL,69.2167,-51.1,19.42,73,2,0.0,clear sky
266,nadym,RU,65.5333,72.5167,30.92,93,77,11.27,broken clouds
267,baykit,RU,61.67,96.37,30.58,76,100,16.4,overcast clouds
268,iquique,CL,-20.2208,-70.1431,64.44,78,59,2.19,broken clouds
269,papillion,US,41.1544,-96.0422,67.21,56,0,16.11,clear sky
270,taoudenni,ML,22.6783,-3.9836,81.36,11,0,16.17,clear sky
271,darnah,LY,32.767,22.6367,62.55,81,0,5.3,clear sky
272,royan,FR,45.6285,-1.0281,53.92,87,9,6.2,clear sky
273,luanda,AO,-8.8368,13.2343,77.0,94,75,10.36,broken clouds
274,tacoronte,ES,28.4769,-16.4102,65.25,58,0,3.44,clear sky
275,kavaratti,IN,10.5669,72.642,84.58,68,81,11.14,broken clouds
276,rundu,NA,-17.9333,19.7667,58.6,44,6,1.97,clear sky
277,lagunas,PE,-5.2269,-75.6753,72.7,98,100,2.13,overcast clouds
278,graaff-reinet,ZA,-32.2522,24.5308,49.93,95,100,10.02,overcast clouds
279,cabo san lucas,MX,22.8909,-109.9124,79.61,52,0,1.99,clear sky
280,merauke,ID,-8.4667,140.3333,84.87,77,100,10.54,heavy intensity rain
281,kangaatsiaq,GL,68.3065,-53.4641,15.26,88,10,6.17,clear sky
282,dutlwe,BW,-23.9833,23.9,60.04,45,96,4.92,overcast clouds
283,pevek,RU,69.7008,170.3133,29.03,84,100,3.98,overcast clouds
284,majene,ID,-3.5403,118.9707,85.21,74,55,1.28,broken clouds
285,vestmanna,FO,62.1564,-7.1664,43.72,87,75,14.97,broken clouds
286,necochea,AR,-38.5473,-58.7368,58.98,81,88,12.15,overcast clouds
287,tomatlan,MX,19.9333,-105.25,71.55,84,38,1.01,scattered clouds
288,phalombe,MW,-15.8064,35.6507,60.82,84,26,1.19,scattered clouds
289,tuatapere,NZ,-46.1333,167.6833,60.24,89,100,2.08,light rain
290,bengbu,CN,32.9408,117.3608,69.57,62,79,9.91,broken clouds
291,ponta do sol,PT,32.6667,-17.1,65.01,68,80,6.96,broken clouds
292,yulara,AU,-25.2406,130.9889,62.44,31,0,13.8,clear sky
293,san miguel,SV,13.4833,-88.1833,83.86,74,20,4.61,few clouds
294,broken hill,AU,-31.95,141.4333,58.71,58,0,8.05,clear sky
295,qandala,SO,11.472,49.8728,85.03,64,14,7.72,few clouds
296,atasu,KZ,48.6814,71.6433,46.94,34,73,22.91,broken clouds
297,tiarei,PF,-17.5333,-149.3333,80.62,75,31,1.86,scattered clouds
298,reconquista,AR,-29.15,-59.65,58.42,84,98,7.07,overcast clouds
299,dinard,FR,48.6314,-2.0614,51.64,97,100,5.75,mist
300,brookhaven,US,31.5791,-90.4407,71.26,86,0,5.3,clear sky
301,chulym,RU,55.0997,80.9572,41.65,33,3,10.36,clear sky
302,ukiah,US,39.1502,-123.2078,53.65,72,76,5.99,broken clouds
303,kholodnyy,RU,62.7167,147.95,31.03,83,100,2.89,overcast clouds
304,kruisfontein,ZA,-34.0033,24.7314,52.88,77,55,5.79,broken clouds
305,sur,OM,22.5667,59.5289,86.54,54,0,3.67,clear sky
306,inhambane,MZ,-23.865,35.3833,69.78,84,0,2.75,clear sky
307,inirida,CO,3.8653,-67.9239,72.7,98,87,2.71,overcast clouds
308,caraz,PE,-9.0486,-77.81,62.76,84,67,1.45,broken clouds
309,sanary-sur-mer,FR,43.1178,5.8001,58.95,82,100,4.09,overcast clouds
310,paita,PE,-5.0892,-81.1144,67.93,80,1,15.39,clear sky
311,sao filipe,CV,14.8961,-24.4956,72.64,80,10,9.01,clear sky
312,tanda,IN,26.55,82.65,93.97,29,0,5.68,clear sky
313,havoysund,NO,70.9963,24.6622,32.23,71,100,27.29,light snow
314,lazaro cardenas,MX,17.9583,-102.2,76.3,79,40,6.44,scattered clouds
315,saint george,US,37.1041,-113.5841,86.59,14,0,27.63,clear sky
316,talnakh,RU,69.4865,88.3972,16.21,88,10,12.97,clear sky
317,poum,NC,-20.2333,164.0167,78.24,61,53,24.27,broken clouds
318,adeje,ES,28.1227,-16.726,69.01,79,0,5.75,clear sky
319,lata,PT,40.1629,-8.3327,55.08,65,97,3.09,overcast clouds
320,luz,BR,-19.8014,-45.6856,66.18,77,26,4.38,scattered clouds
321,pisco,PE,-13.7,-76.2167,64.45,88,9,10.36,clear sky
322,launceston,AU,-41.45,147.1667,64.62,52,6,5.75,clear sky
323,gimli,CA,50.6336,-96.9907,44.62,81,100,9.22,moderate rain
324,luderitz,NA,-26.6481,15.1594,52.79,75,0,14.88,clear sky
325,muravlenko,RU,63.7898,74.523,28.29,85,27,9.64,scattered clouds
326,cap malheureux,MU,-19.9842,57.6142,75.47,76,35,3.0,scattered clouds
327,rorvik,NO,64.8621,11.2373,39.78,60,100,19.55,overcast clouds
328,dzhebariki-khaya,RU,62.2167,135.8,41.45,65,100,7.92,overcast clouds
329,boa vista,BR,2.8197,-60.6733,78.78,78,40,2.3,scattered clouds
330,huarmey,PE,-10.0681,-78.1522,66.16,87,27,8.61,scattered clouds
331,edd,ER,13.9297,41.6925,82.78,75,91,5.35,overcast clouds
332,bowmore,US,34.9421,-79.3031,60.64,77,100,13.8,overcast clouds
333,port macquarie,AU,-31.4333,152.9167,67.89,43,0,5.14,clear sky
334,sechura,PE,-5.5569,-80.8222,68.02,78,0,15.75,clear sky
335,itaituba,BR,-4.2761,-55.9836,73.29,99,98,0.38,overcast clouds
336,glenwood springs,US,39.5505,-107.3248,63.41,75,40,12.66,scattered clouds
337,susanville,US,40.4163,-120.653,53.44,37,0,16.11,clear sky
338,kenai,US,60.5544,-151.2583,57.02,57,0,11.5,clear sky
339,roald,NO,62.5833,6.1333,40.75,80,98,5.75,overcast clouds
